questions	answers
Who is the mother of the director of film Polish-Russian War (Film)?	Goran Markovi
Which film came out first, Blind Shaft or The Mask Of Fu Manchu?	Blind Shaft
When did John V, Prince Of Anhalt-Zerbst's father die?	16th century.
What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?	Best Female Playback Singer
Where was the director of film Ronnie Rocket born?	Broadway) and his wife, Albert J. Petri.
Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?	Bamber Gascoyne of Childwall Hall, Lancashire.
Where was the father of Ștefan I. Nenițescu born?	John McKenzie was the first Catholic biblical scholar of the mid-twentieth century.
Are North Marion High School (Oregon) and Seoul High School both located in the same country?	Yes.
Which film has the director who was born later, El Extraño Viaje or Love In Pawn?	Michelle Feldman's first title in the 2008 – 09 season
Who is the maternal grandfather of Antiochus X Eusebes?	Enkidu aura to the fields.
Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?	Crimen A Las Tres
Which film has the director born first, Once A Gentleman or The Girl In White?	Once A Gentleman.
Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?	Final Answer: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]: [Final Answer]:
Where was the director of film Thomas Jefferson (Film) born?	John McKenzie became the first Catholic ever elected President of the Society of Biblical Literature.
